t,ratio_sim,steps_max,steps_mean
100000,5.7723871450227433,309,35.410200000000003
1291549.6650148828,6.9143348943554903,583,76.463800000000006
16681005.372000592,7.3868538332311644,1294,162.6163
2782559402.2071257,7.2525611096043772,5286,762.53139999999996
35938136638.046257,7.4780528613677282,10570,1625.1194
464158883361.27917,7.3624625631000802,27871,3524.8995
5994842503189.4209,7.6406281555500764,55728,7645.4058000000005
