Time_t,Mean_X_Position,Num_Simulations
0.000000,0.000000,75000
20.000000,0.827827,75000
40.000000,1.195880,75000
60.000000,1.451787,75000
80.000000,1.671547,75000
100.000000,1.865387,75000
