w,t,F_used,average_x,C_sim,steps_max,steps_mean
1,10000000000000000,0.01,2938.1779999999999,0.18538649884901259,409145,70126.735000000001
1,11787686347935914,0.01,3007.5430000000001,0.18062725163847437,599054,71790.244999999995
1,13894954943731360,0.01,3254.6750000000002,0.1860589154711571,516674,77854.879000000001
1,16378937069540680,0.01,3473.2600000000002,0.18899555082479041,404532,83012.319000000003
1,19306977288832456,0.01,3603.9520000000002,0.18666578129164701,519526,86161.035999999993
1,22758459260747912,0.01,3749.9450000000002,0.18487664056741204,499694,89609.153999999995
1,26826957952797164,0.01,3965.585,0.18609548417356889,639718,94781.972999999998
1,31622776601683792,0.01,4075.8919999999998,0.18206340797793738,595980,97547.771999999997
1,37275937203149536,0.01,4380.5770000000002,0.186252772895141,667933,104631.817
1,43939705607607864,0.01,4499.1300000000001,0.18208383810161777,693028,107489.349
1,51794746792312232,0.01,4921.1660000000002,0.18957553948238576,617904,117652.787
1,61054022965853144,0.01,5022.4369999999999,0.18416208028283898,634104,120059.931
1,71968567300115288,0.01,5339.0879999999997,0.1863477794119455,798157,127577.575
1,84834289824406912,0.01,5448.442,0.18100930610214708,693958,130352.287
1,1e+17,0.01,6032.1090000000004,0.19075203534400631,842261,144117.16699999999
3,10000000000000000,0.0022222222222222222,386.32999999999998,0.17819353556394521,347802,67787.394
3,11787686347935914,0.0022222222222222222,433.55900000000003,0.19035011574622407,537599,76263.930999999997
3,13894954943731360,0.0022222222222222222,436.65699999999998,0.18248063963102923,535575,75750.652000000002
3,16378937069540680,0.0022222222222222222,457.00400000000002,0.1817890825135989,409006,80039.043000000005
3,19306977288832456,0.0022222222222222222,456.60199999999998,0.17288488861796836,417569,80423.671000000002
3,22758459260747912,0.0022222222222222222,539.553,0.19445753008185346,486556,94321.317999999999
3,26826957952797164,0.0022222222222222222,539.46600000000001,0.18506579641743889,541077,94481.933999999994
3,31622776601683792,0.0022222222222222222,565.65999999999997,0.18470939249495921,545890,98736.516000000003
3,37275937203149536,0.0022222222222222222,566.63599999999997,0.17612017257441201,622411,100261.367
3,43939705607607864,0.0022222222222222222,612.94399999999996,0.18134148425649937,697521,107354.53599999999
3,51794746792312232,0.0022222222222222222,664.90999999999997,0.18724518604659687,681343,116079.83100000001
3,61054022965853144,0.0022222222222222222,701.596,0.18806428594045871,726385,122460.659
3,71968567300115288,0.0022222222222222222,770.58799999999997,0.19661330123120033,783799,135107.73000000001
3,84834289824406912,0.0022222222222222222,793.46900000000005,0.19270458422815218,710389,137009.342
3,1e+17,0.0022222222222222222,812.18600000000004,0.187753918571677,811383,142094.53700000001
5,10000000000000000,0.00080000000000000004,141.489,0.18128158391794469,493751,70764.186000000002
5,11787686347935914,0.00080000000000000004,148.512,0.18111898899382931,384369,73339.654999999999
5,13894954943731360,0.00080000000000000004,154.49199999999999,0.17934111377196499,337979,75747.482999999993
5,16378937069540680,0.00080000000000000004,171.85599999999999,0.18989345439996785,436023,83043.402000000002
5,19306977288832456,0.00080000000000000004,186.48099999999999,0.1961332901299366,497856,87811.183000000005
5,22758459260747912,0.00080000000000000004,179.291,0.17949263879290198,664288,88016.957999999999
5,26826957952797164,0.00080000000000000004,196.965,0.18769324455089156,517990,94390.384999999995
5,31622776601683792,0.00080000000000000004,197.86600000000001,0.17947426533905139,706413,95384.088000000003
5,37275937203149536,0.00080000000000000004,211.92599999999999,0.18297286134016683,738177,101441.245
5,43939705607607864,0.00080000000000000004,218.57599999999999,0.17962895406272661,657578,107877.039
5,51794746792312232,0.00080000000000000004,242.79400000000001,0.18992548574242063,644251,117764.48699999999
5,61054022965853144,0.00080000000000000004,259.98000000000002,0.19357829647926716,707402,122349.15399999999
5,71968567300115288,0.00080000000000000004,270.149,0.19146593508358245,818476,130895.95
5,84834289824406912,0.00080000000000000004,279.90100000000001,0.18882697311161498,706884,135223.53400000001
5,1e+17,0.00080000000000000004,279.61099999999999,0.17954993931926777,658760,139418.83799999999
7,10000000000000000,0.00040816326530612246,70.037000000000006,0.17587925459935216,422760,70561.881999999998
7,11787686347935914,0.00040816326530612246,82.706999999999994,0.19769731817305514,432839,74816.232000000004
7,13894954943731360,0.00040816326530612246,79.429000000000002,0.18072117157234727,419148,79899.316999999995
7,16378937069540680,0.00040816326530612246,86.945999999999998,0.18830028349937636,413393,82556.104999999996
7,19306977288832456,0.00040816326530612246,87.778000000000006,0.18094995395997518,567981,86807.258000000002
7,22758459260747912,0.00040816326530612246,99.409000000000006,0.19506076774816716,600671,92382.263999999996
7,26826957952797164,0.00040816326530612246,107.235,0.2002867451356998,547239,96609.263999999996
7,31622776601683792,0.00040816326530612246,106.477,0.18929663230161872,733242,104015.06299999999
7,37275937203149536,0.00040816326530612246,103.82899999999999,0.17570219261144376,640185,96556.373000000007
7,43939705607607864,0.00040816326530612246,120.708,0.19443121615606043,845253,109921.31299999999
7,51794746792312232,0.00040816326530612246,126.953,0.19464548537137136,620815,117195.535
7,61054022965853144,0.00040816326530612246,123.077,0.1796179342708146,630969,122691.98699999999
7,71968567300115288,0.00040816326530612246,123.76300000000001,0.17192342413463993,736541,125530.075
7,84834289824406912,0.00040816326530612246,137.88800000000001,0.18232327998146541,735975,134901.03599999999
7,1e+17,0.00040816326530612246,139.316,0.17534285674940572,876861,132207.83300000001
10,10000000000000000,0.00020000000000000001,36.524000000000001,0.18718426368181301,393473,74984.972999999998
10,11787686347935914,0.00020000000000000001,33.57,0.16376224037176385,398162,75720.525999999998
10,13894954943731360,0.00020000000000000001,37.585000000000001,0.17452128941613293,452269,76314.337
10,16378937069540680,0.00020000000000000001,37.720999999999997,0.16672030056375539,381404,81338.453999999998
10,19306977288832456,0.00020000000000000001,49.823999999999998,0.20961159683686723,586482,86755.592999999993
10,22758459260747912,0.00020000000000000001,49.718000000000004,0.19909566047387761,491603,90445.418999999994
10,26826957952797164,0.00020000000000000001,47.607999999999997,0.18146777318973098,638059,97770.760999999999
10,31622776601683792,0.00020000000000000001,58.469000000000001,0.21213711946689157,558664,102822.769
10,37275937203149536,0.00020000000000000001,55.143999999999998,0.19044110615483062,659873,102400.91
10,43939705607607864,0.00020000000000000001,55.859999999999999,0.18362626041182759,546945,109438.47500000001
10,51794746792312232,0.00020000000000000001,56.207999999999998,0.17587472017611597,736554,116891.223
10,61054022965853144,0.00020000000000000001,68.680000000000007,0.20455354107540688,545931,128076.383
10,71968567300115288,0.00020000000000000001,69.186000000000007,0.19614008839111352,737869,133546.73300000001
10,84834289824406912,0.00020000000000000001,71.204999999999998,0.19214543171210594,694029,133367.53099999999
10,1e+17,0.00020000000000000001,70.769000000000005,0.18177496100919147,823196,138935.31700000001
