w,F,N_traj,avg_x,mean_steps
5,0.01000000000000000,100000,2.98654010000000028e+02,1.76729554600000010e+04
5,0.01668100537200059,100000,3.50268959999999993e+02,1.77632845600000001e+04
5,0.02782559402207124,100000,4.06876530000000002e+02,1.76826373500000009e+04
5,0.04641588833612777,100000,4.75005899999999997e+02,1.77202593100000013e+04
5,0.07742636826811269,100000,5.52559840000000008e+02,1.76674562899999983e+04
5,0.12915496650148839,100000,6.44528130000000033e+02,1.76832754700000005e+04
5,0.21544346900318834,100000,7.50673360000000002e+02,1.76492894200000010e+04
5,0.35938136638046275,100000,8.76282709999999952e+02,1.76686479199999994e+04
5,0.59948425031894093,100000,1.02427251000000001e+03,1.77076813499999989e+04
5,1.00000000000000000,100000,1.19112286999999992e+03,1.76440077400000009e+04
10,0.01000000000000000,100000,1.13346789999999999e+02,1.76825046299999995e+04
10,0.01668100537200059,100000,1.32068680000000001e+02,1.77034345099999991e+04
10,0.02782559402207124,100000,1.53757640000000009e+02,1.76792097500000018e+04
10,0.04641588833612777,100000,1.80399709999999999e+02,1.77850059900000015e+04
10,0.07742636826811269,100000,2.09198659999999990e+02,1.76819673100000000e+04
10,0.12915496650148839,100000,2.42427899999999994e+02,1.75636520600000003e+04
10,0.21544346900318834,100000,2.83991139999999973e+02,1.76486695900000013e+04
10,0.35938136638046275,100000,3.31959110000000010e+02,1.76833045300000013e+04
10,0.59948425031894093,100000,3.85019040000000018e+02,1.75905337099999997e+04
10,1.00000000000000000,100000,4.49588279999999997e+02,1.76322662700000001e+04
25,0.01000000000000000,100000,3.11598000000000006e+01,1.76876837100000012e+04
25,0.01668100537200059,100000,3.65028199999999998e+01,1.76641354199999987e+04
25,0.02782559402207124,100000,4.26381900000000016e+01,1.76553140899999999e+04
25,0.04641588833612777,100000,4.94169699999999992e+01,1.75299346799999985e+04
25,0.07742636826811269,100000,5.76334000000000017e+01,1.76585250599999999e+04
25,0.12915496650148839,100000,6.76571600000000046e+01,1.76358153700000003e+04
25,0.21544346900318834,100000,7.92579800000000034e+01,1.77064829199999986e+04
25,0.35938136638046275,100000,9.19899599999999964e+01,1.76779549299999999e+04
25,0.59948425031894093,100000,1.06834620000000001e+02,1.76714689299999991e+04
25,1.00000000000000000,100000,1.25577969999999993e+02,1.77476940600000016e+04
