t,sim_moment,analytic_moment,ratio,steps_max,steps_mean
100000,0.068849999999999995,0.061968580305975879,1.1110469153891607,309,35.66733
1291549.6650148828,0.11606,0.133507259103221,0.86931602655604157,632,76.641710000000003
16681005.372000592,0.27350000000000002,0.2876326703830544,0.95086555931134942,1296,163.3972
215443469.00318867,0.62748000000000004,0.61968580305975907,1.0125776593585916,2907,354.64753999999999
2782559402.2071257,1.2345999999999999,1.3350725910322103,0.92474372426855822,6941,761.05267000000003
35938136638.046257,2.6943999999999999,2.8763267038305433,0.93675033382394879,14283,1632.2400399999999
464158883361.27917,5.8596000000000004,6.1968580305975918,0.94557596302314062,30519,3532.0080899999998
5994842503189.4209,12.78312,13.35072591032211,0.95748501511192996,63993,7582.0536499999998
77426368268112.781,27.132459999999998,28.763267038305443,0.94330244070906066,146638,16365.942359999999
1000000000000000,58.578200000000002,61.96858030597587,0.94528872068336023,304957,35175.503640000003
