w,F,N_traj,avg_x,mean_steps
5,0.01000000000000000,100000,2.99084389999999985e+02,1.76955965499999984e+04
5,0.01668100537200059,100000,3.48580249999999978e+02,1.76825921699999999e+04
5,0.02782559402207124,100000,4.06752490000000023e+02,1.76735334699999985e+04
5,0.04641588833612777,100000,4.71805589999999995e+02,1.76049277299999994e+04
5,0.07742636826811269,100000,5.52021280000000047e+02,1.76697906499999990e+04
5,0.12915496650148839,100000,6.42423469999999952e+02,1.76238228799999997e+04
5,0.21544346900318834,100000,7.51605040000000031e+02,1.76807267399999982e+04
5,0.35938136638046275,100000,8.73363470000000007e+02,1.76107566299999999e+04
5,0.59948425031894093,100000,1.02256285000000003e+03,1.76729752599999993e+04
5,1.00000000000000000,100000,1.18987953999999991e+03,1.76255988599999982e+04
10,0.01000000000000000,100000,1.13151380000000003e+02,1.76611794100000006e+04
10,0.01668100537200059,100000,1.32010420000000011e+02,1.76823073399999994e+04
10,0.02782559402207124,100000,1.54299309999999991e+02,1.77163227899999983e+04
10,0.04641588833612777,100000,1.79687410000000000e+02,1.76900573100000001e+04
10,0.07742636826811269,100000,2.09204350000000005e+02,1.76594664400000001e+04
10,0.12915496650148839,100000,2.42692610000000002e+02,1.75790653200000015e+04
10,0.21544346900318834,100000,2.83490929999999992e+02,1.76250973599999998e+04
10,0.35938136638046275,100000,3.30923510000000022e+02,1.76364312299999983e+04
10,0.59948425031894093,100000,3.85969850000000008e+02,1.76243245700000007e+04
10,1.00000000000000000,100000,4.51299820000000011e+02,1.76965937000000013e+04
15,0.01000000000000000,100000,6.41598400000000026e+01,1.76437164000000012e+04
15,0.01668100537200059,100000,7.49943099999999987e+01,1.76663774799999992e+04
15,0.02782559402207124,100000,8.76409100000000052e+01,1.77236268500000006e+04
15,0.04641588833612777,100000,1.01945689999999999e+02,1.76573891599999988e+04
15,0.07742636826811269,100000,1.18249200000000002e+02,1.76415772099999995e+04
15,0.12915496650148839,100000,1.38782100000000014e+02,1.77276542499999996e+04
15,0.21544346900318834,100000,1.60573710000000005e+02,1.76294821200000006e+04
15,0.35938136638046275,100000,1.88423560000000009e+02,1.77091085800000001e+04
15,0.59948425031894093,100000,2.19096679999999992e+02,1.76504406899999994e+04
15,1.00000000000000000,100000,2.55267179999999996e+02,1.76374986800000006e+04
20,0.01000000000000000,100000,4.28781600000000012e+01,1.76453944200000005e+04
20,0.01668100537200059,100000,4.97380199999999988e+01,1.76579120399999993e+04
20,0.02782559402207124,100000,5.85582899999999995e+01,1.77289351700000007e+04
20,0.04641588833612777,100000,6.81593199999999939e+01,1.77574746899999991e+04
20,0.07742636826811269,100000,7.91839899999999943e+01,1.76861652900000008e+04
20,0.12915496650148839,100000,9.28010299999999972e+01,1.78021310899999989e+04
20,0.21544346900318834,100000,1.07554770000000005e+02,1.76345762900000009e+04
20,0.35938136638046275,100000,1.26029049999999998e+02,1.77253968400000012e+04
20,0.59948425031894093,100000,1.46465720000000005e+02,1.76773560499999985e+04
20,1.00000000000000000,100000,1.70959010000000006e+02,1.76995871299999999e+04
