w,F,N_traj,avg_x,mean_steps
5,0.01000000000000000,100000,7.77614469999999983e+02,1.76867341000000015e+04
5,0.01668100537200059,100000,9.05355860000000007e+02,1.76553288900000007e+04
5,0.02782559402207124,100000,1.06219476000000009e+03,1.77577859800000006e+04
5,0.04641588833612777,100000,1.22927525999999989e+03,1.76332370400000000e+04
5,0.07742636826811269,100000,1.43610071999999991e+03,1.76702645000000011e+04
5,0.12915496650148839,100000,1.66415661000000000e+03,1.75629947900000006e+04
5,0.21544346900318834,100000,1.94936912000000007e+03,1.76476738100000002e+04
5,0.35938136638046275,100000,2.27243530000000010e+03,1.76458211799999990e+04
5,0.59948425031894093,100000,2.65139926000000014e+03,1.76581673300000002e+04
5,1.00000000000000000,100000,3.09575718000000006e+03,1.76840139500000005e+04
10,0.01000000000000000,100000,2.93945269999999994e+02,1.76378381200000003e+04
10,0.01668100537200059,100000,3.41927709999999990e+02,1.75840892500000009e+04
10,0.02782559402207124,100000,4.00774470000000008e+02,1.76812653199999986e+04
10,0.04641588833612777,100000,4.67780439999999999e+02,1.77016512499999990e+04
10,0.07742636826811269,100000,5.43280009999999947e+02,1.76318100899999990e+04
10,0.12915496650148839,100000,6.35832289999999944e+02,1.77092536299999992e+04
10,0.21544346900318834,100000,7.39799210000000016e+02,1.76800070300000007e+04
10,0.35938136638046275,100000,8.66680100000000039e+02,1.77619774499999985e+04
10,0.59948425031894093,100000,1.00126716999999996e+03,1.76029959400000007e+04
10,1.00000000000000000,100000,1.17720740999999998e+03,1.77397050799999997e+04
15,0.01000000000000000,100000,1.67008759999999995e+02,1.76528501299999989e+04
15,0.01668100537200059,100000,1.94155740000000009e+02,1.76473432099999991e+04
15,0.02782559402207124,100000,2.26691350000000000e+02,1.76741438200000011e+04
15,0.04641588833612777,100000,2.64756230000000016e+02,1.76788961799999997e+04
15,0.07742636826811269,100000,3.08904549999999972e+02,1.76777453500000011e+04
15,0.12915496650148839,100000,3.59346130000000016e+02,1.76613974799999996e+04
15,0.21544346900318834,100000,4.19503039999999999e+02,1.76880766299999996e+04
15,0.35938136638046275,100000,4.91386250000000018e+02,1.77605295499999993e+04
15,0.59948425031894093,100000,5.68496449999999982e+02,1.76148817799999997e+04
15,1.00000000000000000,100000,6.65406340000000000e+02,1.76985647400000016e+04
20,0.01000000000000000,100000,1.11307599999999994e+02,1.76612840800000013e+04
20,0.01668100537200059,100000,1.29924350000000004e+02,1.76195269100000005e+04
20,0.02782559402207124,100000,1.51864429999999999e+02,1.76361217399999987e+04
20,0.04641588833612777,100000,1.76488750000000010e+02,1.76844655100000018e+04
20,0.07742636826811269,100000,2.05655480000000011e+02,1.76329032899999984e+04
20,0.12915496650148839,100000,2.40362009999999998e+02,1.76555710399999989e+04
20,0.21544346900318834,100000,2.79121309999999994e+02,1.75908306000000011e+04
20,0.35938136638046275,100000,3.26707730000000026e+02,1.76467978199999998e+04
20,0.59948425031894093,100000,3.81454720000000009e+02,1.76834789899999996e+04
20,1.00000000000000000,100000,4.43444929999999999e+02,1.76328866300000009e+04
